/////////////////////////////////////////////////////////////////////////////////////
//name:    Latcher
//date:    2025-07-13 16:30:50.623
//version: Gridworld v1.29.9.10

//creature: 
skin_color = aHa

//cells: 
neuron_properties[3][0] = *W$M#B@F%A^A+y|A{A}A~8&A[Y8
neuron_properties[4][0] = *z$M#B@F%A^A+y|A{A}A~8&A[Y8
neuron_properties[5][0] = *W$0#B@F%A^A+y|A{A}A~8&A[g8
neuron_properties[4][1] = *H$D#E@F%A^A+y|A{A}A~8&A[Y8
neuron_properties[4][2] = *e$N#U@z%r^g+H|A{A}A~8&6[J8[M8[E8[08
neuron_properties[4][3] = *3$T#U@z%r^g+H|A{A}A~8&6[N8
neuron_properties[4][4] = *J$A#A@A%A^A+A|A{A}A~A&A
neuron_properties[4][5] = *K$R#A@d%A^A+y|A{B}C~8&A[Ag
neuron_properties[4][6] = *a$E#a@H%a^Z+P|B{A}A~8&A[R8

//dna: LTCmi?BVo
dna_name[4][4] = LTCmi?BVo
dna_location = [4][4]
dna_creator[4][4] = creator

gene[3][0][0] = *W$M#B@F%A^A+y|A{A}A~8&A_B[Y8
gene[4][0][0] = *z$M#B@F%A^A+y|A{A}A~8&A_B[Y8
gene[4][1][0] = *H$M#E@F%A^A+y|A{A}A~8&A_B
gene[4][2][0] = *e$N#U@z%r^g+H|A{A}A~8&6_A[J8[M8[E8[08
gene[4][3][0] = *3$T#U@z%r^g+H|A{A}A~8&6_A[N8
gene[4][5][0] = *K$R#A@d%A^A+y|A{B}C~8&A_A[Ag
gene[4][6][0] = *a$E#a@H%a^Z+P|B{A}A~8&A_A[R8

////////////////////////////////////////////////////////////////////////////////////////////////
//help:

//property types:
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//property symbol     property type                 value type                              
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//*                   neuron type                   neuron type                             
//$                   tag                           tag                                     
//&                   threshold                     threshold value                         
//#                   property 1                    value symbol / int value / float value  
//@                   property 2                    value symbol / int value / float value  
//%                   property 3                    value symbol / int value / float value  
//^                   property 4                    value symbol / int value / float value  
//+                   property 5                    value symbol / int value / float value  
//|                   property 6                    value symbol / int value / float value  
//{                   property 7                    value symbol / int value / float value  
//}                   property 8                    value symbol / int value / float value  
//[                   outputtag, weight             tag, weight value                       
//~                   bias                          bias value                              
//_                   mirroring                     mirror value                            

//values types:
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//value symbol        tag                 neuron type                   int value           float value         threshold value     weight value        bias value          mirror value        
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//A                   A                   antenna                       0                   0.0                 0.0                 -2.5                0.0                 P                   
//B                   B                   anti-toxin emitter            1                   0.015873017         0.03968254          -2.420635           0.03968254          P+X                 
//C                   C                   armor                         2                   0.031746034         0.07936508          -2.34127            0.07936508          P+Y                 
//D                   D                   blank cell                    3                   0.04761905          0.11904762          -2.2619047          0.11904762          P+XY                
//E                   E                   blinker                       4                   0.06349207          0.15873016          -2.1825397          0.15873016          P+X+Y               
//F                   F                   cell color sensor             5                   0.07936508          0.1984127           -2.1031747          0.1984127           P+X+XY              
//G                   G                   counter                       6                   0.0952381           0.23809524          -2.0238094          0.23809524          P+Y+XY              
//H                   H                   digester cell                 7                   0.11111111          0.2777778           -1.9444444          0.2777778           P+X+Y+XY            
//I                   I                   direction sensor              8                   0.12698413          0.31746033          -1.8650794          0.31746033          X                   
//J                   J                   dna                           9                   0.14285715          0.35714287          -1.7857144          0.35714287          Y                   
//K                   K                   dna copier                    10                  0.15873016          0.3968254           -1.7063493          0.3968254           XY                  
//L                   L                   dna builder                   11                  0.17460318          0.43650794          -1.6269841          0.43650794          X+Y                 
//M                   M                   energy change sensor          12                  0.1904762           0.47619048          -1.5476191          0.47619048          X+XY                
//N                   N                   energy sensor                 13                  0.20634921          0.515873            -1.4682541          0.515873            Y+XY                
//O                   O                   energy sharer                 14                  0.22222222          0.5555556           -1.388889           0.5555556           X+Y+XY              
//P                   P                   external receiver             15                  0.23809524          0.5952381           -1.3095238          0.5952381           P                   
//Q                   Q                   external sender               16                  0.25396827          0.63492066          -1.2301587          0.63492066          P+X                 
//R                   R                   eye                           17                  0.26984128          0.6746032           -1.1507936          0.6746032           P+Y                 
//S                   S                   feeder                        18                  0.2857143           0.71428573          -1.0714285          0.71428573          P+XY                
//T                   T                   fin                           19                  0.3015873           0.7539683           -0.9920634          0.7539683           P+X+Y               
//U                   U                   fuser                         20                  0.31746033          0.7936508           -0.9126984          0.7936508           P+X+XY              
//V                   V                   group connection sensor       21                  0.33333334          0.8333334           -0.83333325         0.8333334           P+Y+XY              
//W                   W                   group connector               22                  0.34920636          0.8730159           -0.75396824         0.8730159           P+X+Y+XY            
//X                   X                   group disconnector            23                  0.36507937          0.91269845          -0.6746031          0.91269845          X                   
//Y                   Y                   jet                           24                  0.3809524           0.95238096          -0.5952381          0.95238096          Y                   
//Z                   Z                   lamp                          25                  0.3968254           0.9920635           -0.51587296         0.9920635           XY                  
